stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,platform_code,parent_station
1310,Sala Polivalenta,,44.203835,28.61107,,,
1260,Santinelei,,44.231167,28.603586,,,
1261,Santinelei,,44.231224,28.602749,,,
1055,Sat Vacanta,,44.218334,28.633705,,,
1279,Sat Vacanta,,44.214607,28.628439,,,
636,Sat Vacanta,,44.218685,28.632757,,,
1227,Sc. Nr 38 Dimitrie Cantemir,,44.209133,28.62028,,,
1283,Sc. nr. 7  Remus Opreanu,,44.203327,28.630175,,,
1022,Sc.Nr. 23 C-tin Brancoveanu,,44.181232,28.618267,,,
1023,Sc.Nr. 23 C-tin Brancoveanu,,44.180405,28.617786,,,
1568,Scoala  Gimnaziala nr.3,,44.201782,28.649784,,,
1565,Scoala Gimnaziala nr.5,,44.189747,28.647902,,,
1331,Scoala Nr. 17 Ion Minulescu,Scoala Nr. 17  Ion Minulescu,44.14424,28.613895,,,
1332,Scoala Nr. 17 Ion Minulescu,Scoala Nr. 17  Ion Minulescu,44.1437,28.613762,,,
1219,Scoala Nr. 29 Mihai Viteazul,,44.2088,28.623194,,,
1486,Scoala Nr. 40 Aurel Vlaicu,Scoala Nr. 40  Aurel Vlaicu,44.160427,28.612942,,,
595,Scoala Nr. 40 Aurel Vlaicu,,44.160706,28.6131,,,
1342,Scoala Nr. 7 „Remus Opreanu”,,44.203133,28.62685,,,
1256,Scoala Nr.14,,44.23188,28.598913,,,
1270,Scoala Nr.31,,44.16933,28.586918,,,
1271,Scoala Nr.31,,44.169376,28.588007,,,
1560,Scoala Nr.37,,44.1479,28.621464,,,
1282,Scoala Nr.7 Remus Opreanu,,44.20388,28.629898,,,
1287,Scoala Nr.8,,44.17124,28.616714,,,
1288,Scoala Nr.8,,44.171303,28.61713,,,
1257,Scoala nr.14,,44.231613,28.599731,,,
1563,Scoala nr.24,Scoala Gimnaziala nr.24,44.17327,28.636593,,,
1205,Scoala nr.37,,44.14826,28.621908,,,
1579,Secerisului,,44.188805,28.635057,,,
1238,Selgros,,44.21232,28.607092,,,
1239,Selgros,,44.212646,28.607624,,,
1016,Semanatorului,,44.192303,28.624302,,,
1017,Semanatorului,,44.191532,28.624397,,,
1232,Sere,,44.210884,28.611883,,,
1157,Smaraldului,,44.212036,28.621246,,,
1349,Soarelui,,44.138123,28.619268,,,
1350,Soarelui,,44.138123,28.619375,,,
1253,Socului,,44.22505,28.59253,,,
1142,Soseaua din Vii,,44.14807,28.607899,,,
1143,Soseaua din Vii,,44.147453,28.608633,,,
1105,Sp.Clinic de Boli Infect.,Sp.Clinic de Boli Infectioase,44.171272,28.638779,,,
1163,Sp.Clinic de Boli Infect.,Sp.Clinic de Boli Infectioase,44.170864,28.638262,,,
1180,Spicului,,44.16488,28.595972,,,
1028,Spiru Haret,,44.16503,28.607279,,,
1029,Spiru Haret,,44.165134,28.6074,,,
1196,Spitalul  Judetean,,44.188606,28.643187,,,
1194,Spitalul Judetean,,44.18816,28.642479,,,
1083,Spitalul Militar,,44.189617,28.651058,,,
1138,Stadionul Portul,,44.165005,28.633226,,,
1139,Stadionul Portul,,44.16535,28.633474,,,
1188,Stefan cel Mare,,44.178127,28.646566,,,
1189,Stefan cel Mare,,44.17869,28.645845,,,
1299,Stefanita Voda,,44.200867,28.613504,,,
1300,Stefanita Voda,,44.201252,28.612968,,,
1217,Suceava,,44.203575,28.623465,,,
1280,Suceava,,44.209232,28.628855,,,
1281,Suceava,,44.20882,28.629036,,,
1072,Tabara Nord,,44.259792,28.618362,,,
1073,Tabara Nord,,44.258003,28.618404,,,
1580,Tabla Butii,,44.204456,28.648272,,,
1367,Targ,,44.199604,28.59265,,,
1240,Targ legume,,44.202805,28.590559,,,
1336,Teiului,,44.13953,28.605555,,,
1599,Teiului,,44.139492,28.605646,,,
1303,Timonei,,44.15405,28.630907,,,
1304,Timonei,,44.154057,28.630869,,,
1325,Tineretului,,44.188583,28.611513,,,
1326,Tineretului,,44.188217,28.612154,,,
1174,Tipografiei,,44.161274,28.587902,,,
1246,Tom,,44.215954,28.604631,,,
1212,Tomis 3,,44.199375,28.628223,,,
1213,Tomis 3,,44.199783,28.627672,,,
1247,Tomis Plus,,44.22015,28.598898,,,
1252,Tomis Plus,,44.221195,28.59756,,,
1631,Tudor Vladimirescu,,44.18361,28.64671,,,
1228,Tulcei,,44.203743,28.621614,,,
1229,Tulcei,,44.20347,28.622202,,,
1084,Turda,,44.191833,28.65025,,,
1085,Univ.Ovidius,,44.193146,28.650091,,,
1086,Universitatea Ovidius,,44.194847,28.649149,,,
1140,Varful cu Dor,,44.15077,28.60502,,,
1141,Varful cu Dor,,44.150944,28.604883,,,
1216,Varianta Ovidiu,,44.199604,28.592701,,,
1241,Varianta Ovidiu,,44.1869,28.5998,,,
1242,Varianta Ovidiu,,44.18721,28.59998,,,
1322,Viorelelor,,44.140434,28.628704,,,
1158,Vivo,,44.19933,28.606373,,,
1258,Vivo,,44.200287,28.607399,,,
1172,Zmeurei,,44.20185,28.62448,,,
1002,Zorelelor,,44.205673,28.647787,,,
1003,Zorelelor,,44.20556,28.647188,,,
